paragraph,txt,chapter,type
114,"Er komen heldere afstandsnormen voor de bouw van windmolens op land en we stimuleren (financiële) participatie van omwonenden om het draagvlak te versterken. Gezien de schaarse beschikbare ruimte zetten we vooral in op grootschalige installatie van zonnepanelen op daken, inclusief normering. Zonnepanelen op land staan we alleen toe, als multifunctioneel gebruik van dat land mogelijk is, bijvoorbeeld op rijksgronden.",2. Duurzaam land,txt
115,"De gaswinning in Groningen wordt, conform plan, zo snel als mogelijk afgebouwd omdat de veiligheid van Groningers voorop staat. Het importeren van buitenlands gas zal de komende jaren nodig blijven voor onze energiebehoefte. We ronden de procedure rond Ternaard af. We geven geen nieuwe vergunningen af voor gaswinning onder de Waddenzee. We steunen de gaswinning in de Noordzee en er komen verplichte vullingspercentages voor de gasvoorraden. Daarmee verkleinen we de afhankelijkheid van andere landen.",2. Duurzaam land,txt
116,"We onderzoeken de mogelijkheden om financiële prikkels voor fossiele brandstoffen af te bouwen om vervolgens de financiële stimulering voor deze brandstoffen waar mogelijk te beëindigen. We doen dit zoveel mogelijk met andere landen, met het oog op ons vestigingsklimaat.",2. Duurzaam land,txt
117,Om de doelstellingen bovenop het klimaatakkoord te realiseren vergroten we de ruimte voor carbon capture storage (CCS). De stimulering van CCS behoudt een plafond en we passen dit aan waar nodig om de doelstellingen te halen.,2. Duurzaam land,txt
118,"Gebouwde omgeving De beste energie is bespaarde energie. Dat was altijd al zo, maar is in deze tijden van hoge energieprijzen nog eens extra belangrijk geworden. Verduurzaming leidt immers niet alleen tot minder uitstoot en een comfortabeler huis, maar ook tot een lagere energierekening. We gaan ambitieus aan de slag met slim en pragmatisch beleid om onze huizen en bedrijven te verduurzamen. Huishoudens en mkb worden daarbij ontzorgd. We beginnen met isoleren: dat moet in lijn met het manifest Nationaal Isolatieprogramma sneller, slimmer en socialer dan nu. En we zetten in op duurzaam verwarmen. Daarbij kijken we goed naar de draagkracht van huishoudens, van lage- en middeninkomens én het mkb.",2. Duurzaam land,txt
119,"We gaan op basis van een programmatische aanpak - met een langjarig Nationaal Isolatieprogramma mét commitment en middelen tot ten minste 2030 - woningen sneller, slimmer en socialer isoleren. We benaderen mensen actief, bundelen vraag en aanbod, beginnen bij de woningen die het slechtst geïsoleerd zijn en bieden (extra) ondersteuning aan huishoudens met een laag- en middeninkomen.",2. Duurzaam land,txt
120,Met normering en positieve prikkels bevorderen we dat verhuurders huurwoningen met slechte isolatie verduurzamen. Woningen met slechte isolatie mogen op termijn niet meer worden verhuurd. Ook wordt het voor VvE’s en woningeigenaren makkelijker gemaakt om te verduurzamen. Het Warmtefonds wordt hiervoor ingezet en het mkb krijgt er toegang toe.,2. Duurzaam land,txt
121,"De hybride warmtepomp is op korte termijn voor de meeste woningen een goede warmteoplossing. Via normering krijgen leveranciers de verantwoordelijkheid om steeds meer (hybride) warmtepompen te installeren, in combinatie met een subsidie voor de meerkosten die huishoudens moeten maken. Samen met isolatie en duurzame gassen kan deze route voor een stevige verduurzamingsslag zorgen, zonder het voor de consument ingewikkeld en daarmee ontoegankelijk te maken.",2. Duurzaam land,txt
122,"Op wijkniveau zetten we, waar dat kosteneffectief kan, in op de realisatie van duurzame warmtenetten. De onrendabele top van collectieve warmteprojecten zal deels worden gefinancierd uit een nationale subsidieregeling, zodat dit voor huishoudens betaalbaar blijft.",2. Duurzaam land,txt
123,Er komt een bijmengverplichting voor groen gas in het gasnet.,2. Duurzaam land,txt
124,"Mobiliteit, luchtvaart en scheepvaart We gaan de uitstoot in de mobiliteitssector fors omlaag brengen. In deze sector is de uitstoot sinds 1990 het minste afgenomen. Inclusief luchtvaart en scheepvaart is deze zelfs toegenomen. De uitstoot terugdringen is nodig om de klimaatdoelen te kunnen halen, maar ook om de luchtkwaliteit te verbeteren.",2. Duurzaam land,txt
125,"We blijven investeren in schone mobiliteit vanwege het klimaat, maar ook voor de verbetering van de luchtkwaliteit in de steden. Elektrisch vervoer wordt gestimuleerd; ook de tweedehandsmarkt. Overstimulering wordt voorkomen. Ook duurzame stadslogistiek en vrachtverkeer krijgen ondersteuning. De uitrol van laadinfrastructuur wordt versneld. Bijmenging van duurzame biobrandstoffen wordt gestimuleerd.",2. Duurzaam land,txt
126,We maken afspraken met het bedrijfsleven en overheden over het stimuleren van thuiswerken.,2. Duurzaam land,txt
127,"Daarnaast zetten we in op het verder verduurzamen van vliegtuigbrandstoffen. Om de lucht- en scheepvaart te vergroenen, investeren we in de ontwikkeling en productie in Nederland van o.a. synthetische kerosine. Nederland kan daarin een voorloper zijn.",2. Duurzaam land,txt
128,We ondersteunen de voorstellen van de Europese Commissie voor een belasting op kerosine op EU-niveau. Eveneens ondersteunen we de voorstellen over de vergroening van de scheepvaart. De Nederlandse inzet is daarbij om weglekeffecten zoveel mogelijk te voorkomen. De beschikbaarheid van walstroom voor schepen wordt verder uitgebreid.,2. Duurzaam land,txt
129,"Het streven is dat uiterlijk in 2030 alle nieuwe auto’s emissieloos zijn. We introduceren in 2030 een systeem van Betalen naar Gebruik voor alle automobiliteit en stellen in deze kabinetsperiode wetgeving vast. Basis voor het systeem is de motorrijtuigenbelasting, waarvan het tarief afhankelijk wordt gemaakt van het jaarlijks verreden aantal kilometers. De heffing is niet tijd- en plaatsgebonden en vervangt de dan nog bestaande tol-tracés, zoals de Westerscheldetunnel, de Kiltunnel en de voorgenomen doorgetrokken A15. Dit betekent dat gebruikers van elektrische en fossiele auto’s beiden gaan meebetalen aan het weggebruik.",2. Duurzaam land,txt
130,"We zetten de voorstellen voor verduurzaming uit de Luchtvaartnota 2020-2050 “Verantwoord vliegen naar 2050” (2020) door, waaronder emissie plafonds per luchthaven. We verhogen de vliegticketbelasting waarbij de opbrengst deels gebruikt wordt voor de verduurzaming van de luchtvaart en vermindering van leefomgevingseffecten.",2. Duurzaam land,txt
131,Klimaatadaptatie De watersnood in Limburg heeft ons deze zomer opnieuw stevig met de neus op de feiten gedrukt: klimaatverandering is hier en nu en treft ook ons eigen land. Naast klimaatmitigatie moeten we daarom ook hard aan de slag met klimaatadaptatie.,2. Duurzaam land,txt
132,"We investeren extra in het Deltafonds om achterstanden weg te werken en de uitvoering van het Nationale Deltaprogramma te versnellen. We blijven investeren in onze dijken, duinen en dammen. Ook komen er middelen beschikbaar om de beekdalen in onder meer Limburg beter te beschermen.",2. Duurzaam land,txt
133,We werken toe naar vernieuwde deltabeslissingen voor een waterveilig land met voldoende zoetwater en een toekomstbestendige inrichting. Water en bodem worden sturend bij ruimtelijke planvorming. Om die reden worden waterschappen daarbij eerder betrokken en krijgt de watertoets een dwingender karakter.,2. Duurzaam land,txt
134,"Hittestress tijdens een warme periode is een steeds groter probleem en veroorzaakt een piek in het overlijden van vaak kwetsbare mensen. Om dit tegen te gaan bevorderen we het toevoegen van meer groen, water en lichte oppervlakten in dichtbebouwd gebied. Dit leidt tot meer schaduw, verdamping en reflectie.",2. Duurzaam land,txt
135,"Landbouw, Natuur en stikstof In Nederland leven we in een van de meest vruchtbare, maar ook dichtbevolkte delta’s ter wereld met een landbouwsector van wereldfaam. We willen onze unieke natuur beschermen, het verlies van biodiversiteit herstellen en perspectief bieden aan de agrarische sector. We investeren de komende jaren fors in een duurzame landbouw en in een robuust natuurareaal, om weer tot een balans te komen. Om de natuur in Nederland in goede staat te brengen kiezen we voor een brede aanpak die zich richt op de verscheidenheid aan gebieden. Die aanpak richt zich niet alleen op stikstof, maar ook op de (Europese) normen en opgaven van de waterkwaliteit, bodem, klimaat en biodiversiteit. Een gedifferentieerde aanpak zal leiden tot grote aanpassingen in het landelijk gebied. Daarmee maken we gebiedsgericht inzichtelijk wat de perspectieven zijn voor verschillende vormen van landbouw.",2. Duurzaam land,txt
136,"Omdat deze aanpak langjarig, voorspelbaar en coherent beleid vereist, stellen we een ruimhartig transitiefonds in. We zetten de transitie in naar kringlooplandbouw met een goed verdienmodel, zodat boeren in staat gesteld en maatschappelijk gewaardeerd worden om de benodigde verandering te realiseren, waarbij jonge boeren toekomst krijgen. Daarbij verwachten we een niet-vrijblijvende bijdrage van banken, toeleveranciers, de verwerkende industrie en de ‘retail’.",2. Duurzaam land,txt
137,"We brengen natuur en landbouw in balans door de transitie naar kringlooplandbouw voort te zetten op het terrein van voer, mest, bodem, pacht, dierenwelzijn en daarbij behorende innovaties. Met inzet van reststromen in veevoer, vervanging van kunstmest door organische mest en een grondgebonden melkveehouderij sluiten we kringlopen. Hierover worden afspraken gemaakt met toeleveranciers en de verwerkende industrie.",2. Duurzaam land,txt
138,"We stimuleren nieuwe verdienmodellen zoals ‘bio-based’ bouwmaterialen, ‘carbon credits’ en stikstofbinding. Met langjarige overeenkomsten en een passende vergoeding vergroten we de mogelijkheden van (agrarisch-)natuur en landschapsbeheer. We creëren een tussenvorm van natuur- en landbouwgrond: landschapsgrond. Hiermee en door uitbreiding van natuurareaal vergroten we het leefgebied van kwetsbare soorten en brengen we de doelen van de Vogel- en Habitatrichtlijn dichterbij.",2. Duurzaam land,txt
139,"Een Nationaal Programma Landelijk Gebied pakt de uitdagingen in de landbouw en natuur aan met een transitiefonds waarin tot 2035 cumulatief €25 miljard beschikbaar komt. In bestuurlijke afspraken met provincies worden voorwaarden vastgelegd aan het vrijgeven van rijksbudget. De Omgevingswet bevat het instrumentarium voor een onontkoombare aanpak voor natuurverbetering en een basis voor vergunningverlening. Met ecologische analyses stellen we vast wat nodig is om gebiedsgericht de opgaven ten aanzien van natuurherstel, klimaat en water te halen. Een ecologische autoriteit draagt zorg voor de wetenschappelijke en juridische borging van deze analyses. Een krachtige regie-organisatie ondersteunt dit proces en stuurt indien nodig bij. We maken per gebied ook inzichtelijk wat het toekomstperspectief voor de landbouw is.",2. Duurzaam land,txt
140,"We versnellen de doelstellingen in de wet stikstofreductie en natuurverbetering van 2035 naar 2030, waarmee dit in lijn komt met het advies van het adviescollege Stikstofproblematiek (commissie-Remkes), waarbij alle sectoren hun evenredige stikstofbijdrage leveren. Ook in Europees verband zet het kabinet zich in voor stikstofreductie.",2. Duurzaam land,txt
141,"Om op verantwoorde wijze stikstofruimte uit te geven, werken we met goed onderbouwde kaders en eisen aan vergunningverlening. De integrale aanpak biedt op afzienbare termijn de basis voor ruimere vergunningverlening. Daarin zitten onzekerheden, gezien de grootte en de duur van de transitie. Mocht dit leiden tot onbedoelde effecten dan zal het kabinet deze effecten wegnemen met bestaand instrumentarium en waar nodig nieuw instrumentarium ontwikkelen.",2. Duurzaam land,txt
142,"In de gebiedsgerichte aanpak kunnen extensivering, omschakeling, innovatie, legalisering en verplaatsing helpen bij versnelling van verduurzaming in de landbouw. Daarbij wordt rekening gehouden met natuurlijk verloop in de sector. In gebieden waar de opgave tot emissiereductie en natuurherstel dermate groot is dat vrijwilligheid niet langer vrijblijvendheid betekent, gaan we op het boerenerf het gesprek aan om samen te zoeken naar de mogelijkheden.",2. Duurzaam land,txt
143,"Met een grondbank vergemakkelijken we de instap voor jonge boeren en het vinden van ontwikkelruimte. Deze grondbank geeft vrijkomende grond uit te voor het extensiveren, omvormen en verplaatsen van bedrijven van boeren die graag door willen en voor natuur.",2. Duurzaam land,txt
144,We versterken de positie van de Nederlandse Voedsel- en Waren Autoriteit (NVWA). Dit vraagt een aanzienlijke publieke investering in de publieke taken van de NVWA. Keuring en toezicht worden gescheiden. Daarnaast ambiëren we voor de retribueerbare activiteiten kostendekkende tarieven. We hervormen het tariefgebouw om te komen tot arrangementen en abonnementen die differentiëren naar bedrijfsgrootte en die goed gedrag en naleving belonen.,2. Duurzaam land,txt
145,"We intensiveren de ingezette omslag naar geïntegreerde gewasbescherming door het stellen van tussendoelen, bevorderen van innovatie en precisielandbouw, stimuleren van groene alternatieven en loskoppelen van verkoop en advies. We stemmen de normen voor het gebruik van middelen af op de Kaderrichtlijn Water. We doen onderzoek naar gezondheidseffecten bij boeren en omwonenden.",2. Duurzaam land,txt
146,"In navolging van het advies van de Raad voor Dieraangelegenheden (2020) nemen we in overleg met boeren, marktpartijen, maatschappelijke organisaties en andere ‘stakeholders’ het initiatief tot een convenant over de ontwikkeling naar een dierwaardige veehouderij. Daarin maken we tevens afspraken over tijdshorizon, instrumentarium en financiële ondersteuning. Dit convenant vormt de basis van wetgeving die de komende kabinetsperiode in werking treedt voor een dierwaardige veehouderij in balans met de volksgezondheid.",2. Duurzaam land,txt
147,"Samen met ketenpartijen en de Autoriteit Consument en Markt maakt de overheid bindende afspraken om de positie van de boer in de keten te versterken. We verwachten een niet- vrijblijvende bijdrage van banken, toeleveranciers, de verwerkende industrie en de retail. Waar nodig worden afspraken juridisch geborgd. Van supermarkten verwachten we transparantie over de wijze waarop hun gehele assortiment aantoonbaar duurzaam en diervriendelijk wordt, inclusief duurzaam inkoopgedrag en een eerlijke prijs voor boeren. We onderzoeken op welke wijze een bijdrage van de consument aan de verduurzaming van de landbouw vormgegeven zou kunnen worden. Om bewuste keuzes te stimuleren wordt in Nederland geproduceerd voedsel voorzien van een herkomstetiket. De overheid committeert zich bij haar inkoop aan duurzaam en lokaal geproduceerd voedsel.",2. Duurzaam land,txt
148,"In de glastuinbouw is veel potentie om koploper te zijn in energiezuinige en circulaire productie van hoogwaardige producten. De sector kan zelfs CO2-postitief worden, maar leunt nu nog vooral op aardgas. We gaan deze overstap stimuleren in plaats van ontmoedigen. We creëren de randvoorwaarden om de glastuinbouw verder te verduurzamen en koploper te laten zijn in energiezuinige, circulaire producten.",2. Duurzaam land,txt
149,Gezien de uitdagingen voor de visserij moet er voldoende ruimte en perspectief zijn voor innovatie en diversificatie.,2. Duurzaam land,txt
150,"Volkshuisvesting en Ruimtelijk ordening Wonen in een goed, duurzaam en betaalbaar huis in een leefbare wijk is een eerste levensbehoefte. Veel Nederlanders kunnen op dit moment echter geen passende woning vinden. Het is onze prioriteit te zorgen voor een woning voor iedereen, of je nu huurt of koopt.",2. Duurzaam land,txt
151,We versnellen de woningbouw tot rond de 100.000 woningen per jaar. We streven ernaar dat ten minste twee derde van de woningen betaalbare huurwoningen en koopwoningen tot aan de grens van de Nationale Hypotheekgarantie zijn.,2. Duurzaam land,txt
152,"De verhuurderheffing wordt afgeschaft. We maken bindende prestatieafspraken met corporaties zodat de investeringscapaciteit die hierdoor ontstaat gebruikt wordt voor de bouw van flexwoningen, betaalbare huurwoningen, renovatie, verduurzaming en voor de leefbaarheid van wijken. Waar nodig krijgen corporaties projectsteun. De woningcorporaties brengen deze steun met elkaar op, op basis van de waarde van hun woningbezit.",2. Duurzaam land,txt
153,"Speciale aandacht gaat uit naar de bouw van woningen voor starters, senioren en middeninkomens. Met het oog op de acute tekorten aan woningen voor studenten, spoedzoekers, arbeidsmigranten en daklozen is het streven om jaarlijks 15.000 tijdelijke woningen te bouwen en 15.000 eenheden extra te bereiken via transformatie van kantoren tot woningen. We creëren ook meer ruimte voor alternatieve woonvormen en coöperatieve woonprojecten die door bewoners zelf worden ontwikkeld. Het Rijk neemt meer verantwoordelijkheid voor de huisvesting van statushouders door met regionale afspraken over tijdelijke woningen de druk op gemeenten te verlichten. Procedures voor het plaatsen van tijdelijke woningen worden verder vergemakkelijkt.",2. Duurzaam land,txt
154,"We komen met een hernieuwde Nationale Woon- en Bouwagenda. Hierin komen afspraken over het aantal te bouwen woningen en de randvoorwaarden voor de bouw, zoals capaciteit voor vergunningverlening en voldoende bouwpersoneel. We versnellen de woningbouw door innovaties te stimuleren. Het bouwen van prefab-woningen wordt hiermee opgeschaald. Ook stimuleren we circulair bouwen. Met de bouwagenda nemen we ook belemmeringen voor klimaatbestendige en natuurinclusieve bouw weg.",2. Duurzaam land,txt
155,"We bouwen in heel Nederland, zowel binnen- als buitenstedelijk. We bouwen behalve in de 14 verstedelijkingsgebieden en in kansrijke spoor- en kanaalzones bij voorkeur bij bestaande infrastructuur en knooppunten. Bij nieuwbouw zijn de aanwezigheid van publieke voorzieningen, (OV-)infrastructuur en bescherming van natuur randvoorwaarden. Bij bebouwing van open ruimte groeit groen mee. Het Rijk gaat met zijn vastgoed en grondpositie bijdragen aan het terugdringen van de woningnood door extra betaalbare huur- en koopwoningen te realiseren.",2. Duurzaam land,txt
156,Een minister voor Volkshuisvesting & Ruimtelijk Ordening (VRO) ondersteunt gemeenten en provincies in het bepalen van woningbouwlocaties en maakt prestatieafspraken met hen. Het Bouwbesluit wordt verbeterd en belemmeringen voor woningbouw worden weggenomen. Om financiële knelpunten in de grondexploitatie bij specifieke projecten op te lossen verlengen we de woningbouwimpuls en de regeling inzake het Volkshuisvestingsfonds. Ook blijft er voldoende aandacht voor krimpregio’s.,2. Duurzaam land,txt
157,"We stellen voor de komende 10 jaar in totaal €7,5 mrd beschikbaar voor goede ontsluiting van nieuwe woningen in de 14 verstedelijkingsgebieden en daarbuiten. Deze middelen worden toegevoegd aan het mobiliteitsfonds en komen in overleg van de minister van Infrastructuur en Waterstaat, de minister voor VRO en de regionale overheden tot besteding.",2. Duurzaam land,txt
158,"Het kabinet zet zich in voor een goede ruimtelijke inrichting, het beschermen van onze natuur, het tegengaan van de funderingsproblematiek als gevolg van bodemdaling, het voorkomen van verrommeling en verdozing van onze leefomgeving en de ruimtelijke inpassing van onze energie transitie. Daartoe actualiseren we de Nationale Omgevingsvisie, scherpen deze aan en komen we met een uitvoeringsprogramma.",2. Duurzaam land,txt
159,Hyperscale datacentra leggen een onevenredig groot beslag op de beschikbare duurzame energie in verhouding tot de maatschappelijke en/of economische meerwaarde. Daarom scherpen we de landelijke regie en de toelatingscriteria bij de vergunningverlening hiervoor aan.,2. Duurzaam land,txt
160,"De minister voor VRO heeft een regiefunctie voor het ruimtelijk beleid, zowel ten aanzien van verstedelijking als ten aanzien van andere opgaven met een sterke ruimtelijke component.",2. Duurzaam land,txt
161,"We verlagen de sociale huur voor mensen met een lager inkomen en we verhogen stapsgewijs de huur voor mensen met een hoger inkomen tot de marktconforme huur. Om zittende corporatiehuurders in grondgebonden woningen een start te geven op de koopmarkt, krijgen ze de kans om hun woning onder bepaalde voorwaarden te kopen. Daarnaast willen we starters",2. Duurzaam land,txt
162,"helpen een woning te kopen, bijvoorbeeld door een nieuwe vorm van premie A-woningen, zonder dat hierdoor de woningprijzen extra stijgen.",2. Duurzaam land,txt
163,"Middenhuurwoningen krijgen een vorm van huurprijsbescherming, zodanig dat wonen voor middeninkomens betaalbaar wordt én het rendabel blijft voor institutionele beleggers om in deze woningen te investeren. Om woningcorporaties te stimuleren tot de bouw van middenhuurwoningen wordt de markttoets gedurende de hele kabinetsperiode opgeschort. We vereenvoudigen het woningwaarderingsstelsel en de gang naar de Huurcommissie. Vaste huurcontracten blijven de norm.",2. Duurzaam land,txt
164,"Met de invoering van een meldplicht, registratieplicht of verhuurvergunning, met name voor de grotere verhuurders, geven we gemeenten de mogelijkheid om discriminatie en malafide verhuurders gerichter aan te pakken.",2. Duurzaam land,txt
165,Voor starters wordt bij het aanvragen van een hypotheek de actuele stand van de studieschuld bepalend. Voor senioren maken we het eenvoudiger een deel van de waarde van het huis op te nemen. Gedurende deze kabinetsperiode wordt de ‘loan-to-value’ niet aangescherpt.,2. Duurzaam land,txt
166,De verruimde schenkingsvrijstelling eigen woning wordt geschrapt.,2. Duurzaam land,txt
167,"Infrastructuur We zetten in op een goede bereikbaarheid van het hele land. De transport- en logistiek sector is van economisch belang voor Nederland. Solide infrastructuur is nodig om naar je werk, familie of opleiding te gaan. Onze infrastructuur onderhouden we goed, is van hoge kwaliteit, klimaatadaptief en sluit naadloos op elkaar aan. Daarbij zijn veiligheid, oog voor nieuwe ontwikkelingen en duurzaamheid van belang. Blijvende investeringen in infrastructuur en bijbehorende knelpunten zijn essentieel.",2. Duurzaam land,txt
168,"We trekken structureel €1,25 miljard uit voor het inlopen van achterstanden bij beheer en onderhoud van onze wegen, spoor, bruggen, viaducten en vaarwegen en voor het onderhoud en renoveren en vervangen ervan in de toekomst, ook met het oog op de verkeersveiligheid.",2. Duurzaam land,txt
169,Verkeersveiligheid blijft daarnaast een speerpunt in ons beleid. Samen met de gemeenten wordt bezien waar binnen de bebouwde kom de maximumsnelheid zinvol verlaagd kan worden naar 30 km/uur. De snelheid op andere wegen blijft ongewijzigd.,2. Duurzaam land,txt
170,"We bezien in overleg met de regio of een door de regio voorgestelde alternatieve invulling van de A27/Amelisweerd binnen de bestaande bak de bereikbaarheidsproblematiek op gelijkwaardige wijze oplost. Ontsluiting via (hoogwaardig) OV en auto van nieuwe woongebieden in de regio (m.n. Rijnenburg) is daar onderdeel van. Als dit het geval is, wordt het voorstel van de regio overgenomen. Zo niet, dan wordt het lopende besluitvormingsproces voortgezet.",2. Duurzaam land,txt
171,"We reserveren middelen om op termijn met medefinanciering vanuit de regio en uit Europese fondsen de Lelylijn te kunnen aanleggen. De komende periode werken we uit hoe de Lelylijn, in het kader van het Deltaplan voor het Noorden, kan bijdragen aan versterking van de economie van het Noorden, de ontsluiting van nieuw te ontwikkelen woningbouwgebieden en betere internationale treinverbindingen met het noorden van Duitsland.",2. Duurzaam land,txt
172,"We investeren in de uitbreiding en verbetering van de infrastructuur voor openbaar vervoer (OV), fiets, auto en water, omdat we goede en snellere verbindingen willen tussen stad en regio. We focussen hierbij op de grootste knelpunten uit de Integrale Mobiliteitsanalyse 2021, verbindingen in de (economische) regio’s en N-wegen.",2. Duurzaam land,txt
173,"Ook de nieuwe woningen in de 14 verstedelijkingsgebieden en daarbuiten worden goed ontsloten en bereikbaar per OV, fiets en auto. Daarvoor wordt voor de komende 10 jaar in totaal €7,5 mrd toegevoegd aan het Mobiliteitsfonds.",2. Duurzaam land,txt
174,"We zetten in op betere internationale (nacht) treinverbindingen die aansluiten op HSL- knooppunten over de grens, zodat Nederland duurzaam verbonden is. We betrekken Europese fondsen bij onze investeringen om betere grensoverschrijdende verbindingen te creëren. We stimuleren het verplaatsen van goederenvervoer van de weg naar spoor en water.",2. Duurzaam land,txt
175,"We ontwikkelen ‘hubs’ waar reizigers eenvoudig kunnen overstappen naar een (deel)auto, (deel)fiets, trein of metro via multimodaal reisadvies op maat. Ook zetten we in op het sociaal veiliger maken en het toegankelijker maken voor mensen met een beperking van het openbaar vervoer. We investeren in fietsenstallingen bij OV-knooppunten en fietssnelwegen. Om reizen naar werk betaalbaar te houden, verhoogt het kabinet de onbelaste reiskostenvergoeding.",2. Duurzaam land,txt
176,"We zetten in op goede verbindingen voor de binnenvaart door bediening van sluizen, bruggen en wegverkeer beter op elkaar af te stemmen en te zorgen voor goede ligplaatsen.",2. Duurzaam land,txt
177,Door de aanwezigheid van de luchthaven Schiphol is Nederland via de lucht uitstekend verbonden met de rest van de wereld. Schiphol zorgt direct en indirect ook voor veel werkgelegenheid. Mede door Schiphol is Nederland een interessante vestigingsplaats voor internationaal opererende bedrijven. Die sterke hub functie willen we behouden.,2. Duurzaam land,txt
178,"Tegelijkertijd moet er aandacht zijn voor het verminderen van de negatieve effecten van luchtvaart op mens, milieu en natuur. Er spelen rond de luchthaven diverse uitdagingen op het gebied van stikstof, (ultra)fijnstof, geluidsoverlast, leefomgevingskwaliteit, veiligheid en woningbouw. Dit vraagt om een integrale oplossing die zekerheid en perspectief biedt voor zowel de hub functie van Schiphol als de omgeving van de luchthaven. Het kabinet zal hierover in 2022 besluiten en hierbij de opening van vliegveld Lelystad betrekken en hierbij ook de laagvlieg routes in ogenschouw nemen.",2. Duurzaam land,txt
179,"Ook de luchtvaart moet een bijdrage leveren aan het terugdringen van de CO2-emissies. We ontmoedigen het vliegen over korte afstanden, hetgeen leidt tot een daling van de CO2-emissies naast de emissiereducties die voortkomen uit het ‘Fit For 55’-beleidspakket.",2. Duurzaam land,txt
180,"Europese afspraken over het rechtvaardig belasten van de luchtvaart worden actief ondersteund. Het gelijke speelveld binnen de EU en van de EU ten opzichte van derde landen staat hierbij centraal. We willen dat in Europa vervoer per trein zo snel mogelijk, zowel qua tijd als qua kosten, een goed alternatief wordt voor vliegen.",2. Duurzaam land,txt
181,Op nationaal niveau verplichten we tot het bijmengen van bio-kerosine en stimuleren we de productie van synthetische kerosine.,2. Duurzaam land,txt
182,3. Veiligheid en sterke samenleving,3. Veiligheid en sterke samenleving,txt
183,"Om in vrijheid te kunnen leven, is veiligheid een belangrijke voorwaarde. Voor effectief veiligheidsbeleid vormen preventie en repressie twee kanten van dezelfde medaille. De snelle verharding van de georganiseerde en ondermijnende criminaliteit tast in toenemende mate de rechtsstaat aan en vraagt de komende jaren om een stevige en gerichte aanpak. Voor het versterken van veiligheid wordt oplopend structureel €1 miljard euro gereserveerd voor verschillende doelen, o.a. het tegengaan van ondermijning en het versterken van de politieorganisatie, de preventie-aanpak, de inlichtingendiensten en de gehele justitiële keten.",3. Veiligheid en sterke samenleving,txt
184,Justitie en Veiligheid,3. Veiligheid en sterke samenleving,txt
185,"We versterken de gehele justitiële keten en de toegang tot het recht, onder meer met adequate en voorspelbare financiering in de strafrechtketen. We versterken de expertise van de aanpak van cybercriminaliteit in alle delen van strafrechtketen. Met inachtneming van de verschillende verantwoordelijkheden wordt de samenwerking tussen de politie en de buitengewoon opsporingsambtenaren (boa’s) verder geprofessionaliseerd.",3. Veiligheid en sterke samenleving,txt
186,Het Wetboek van Strafvordering wordt gemoderniseerd. We verkorten doorlooptijden en nemen achterstanden in de justitiële keten weg. We borgen de positie van het slachtoffer.,3. Veiligheid en sterke samenleving,txt
187,"We zetten meer in op maatschappelijk effectieve rechtspraak en herstelrecht; laagdrempelige alternatieve geschillenbeslechting, al dan niet in combinatie met partners uit het sociale domein naar het voorbeeld van buurtrechtspraak en ‘mediation’. We beperken het aantal juridische procedures die de overheid voert tegen burgers. We bevorderen dat rechterlijke uitspraken meer worden gepubliceerd.",3. Veiligheid en sterke samenleving,txt
188,We vergroten de toegang tot het recht voor burgers en mkb door de griffierechten te verlagen met 25%. We versterken de sociale advocatuur in lijn met scenario 1 van de aanbevelingen van de commissie evaluatie puntentoekenning gefinancierde rechtsbijstand (commissie-Van der Meer). Er wordt daarbij een substantiële maatschappelijke bijdrage verwacht van de gehele advocatuur.,3. Veiligheid en sterke samenleving,txt
189,Ondermijning,3. Veiligheid en sterke samenleving,txt
190,"Ondermijnende criminaliteit vraagt om harde, realistische en effectieve aanpak. Dat doen we door versterking van en forse investering in de justitie- en veiligheidsketen, van wijkagent en recherche tot rechtspraak, Openbaar Ministerie (OM), gevangeniswezen en reclassering. Hiermee voeren we o.a. het Pact voor de Rechtsstaat uit.",3. Veiligheid en sterke samenleving,txt
191,"De aanpak van ondermijning wordt verstevigd door aanpassing van wetgeving, opsporing, straffen, gegevensuitwisseling en detentie. Daarbij betrekken we lessen uit de bestrijding van de maffia in Italië. We gaan de omstandigheden in de extra beveiligde inrichting (EBI) en het Italiaanse gevangenisregime vergelijken om te voorkomen dat vanuit gevangenschap netwerken worden aangestuurd.",3. Veiligheid en sterke samenleving,txt
192,We versterken internationale samenwerking om grensoverschrijdende netwerken op te rollen en vroegtijdig nieuwe ontwikkelingen in criminaliteit te signaleren. We verscherpen de controles om fraude en corruptie bij logistieke knooppunten aan te pakken.,3. Veiligheid en sterke samenleving,txt
193,De landelijke recherche krijgt voldoende mensen en middelen om in interventieslagkracht te kunnen voorzien.,3. Veiligheid en sterke samenleving,txt
194,"Zware criminelen worden effectiever opgespoord en vervolgd, bijvoorbeeld door het verbeteren van de kroongetuigenregeling en het verzwaren van de straffen om de georganiseerde misdaad beter te kunnen bestrijden, te weten verboden wapenbezit, hulp bij uitbraak en verboden productie, grootschalige handel en grootschalig bezit van drugs.",3. Veiligheid en sterke samenleving,txt
